brand,model,product_url
TrackMan,TrackMan 4,https://www.trackman.com
TrackMan,TrackMan iO,https://www.trackman.com

Foresight Sports,GC3,https://foresightsports.com
Foresight Sports,GCQuad,https://foresightsports.com
Foresight Sports,GC Hawk,https://foresightsports.com
Foresight Sports,Falcon,https://foresightsports.com

Bushnell,Launch Pro,https://www.bushnellgolf.com
Bushnell,LPi,https://www.bushnellgolf.com

Garmin,Approach R10,https://www.garmin.com
Garmin,Approach R50,https://www.garmin.com
Garmin,Approach G80,https://www.garmin.com
Garmin,Approach G82,https://www.garmin.com

Rapsodo,Mobile Launch Monitor (MLM),https://rapsodo.com
Rapsodo,MLM2PRO,https://rapsodo.com

FlightScope,Mevo,https://flightscope.com
FlightScope,Mevo+,https://flightscope.com
FlightScope,Mevo Gen2,https://flightscope.com
FlightScope,X3,https://flightscope.com
FlightScope,X3C,https://flightscope.com
FlightScope,X2 Elite,https://flightscope.com
FlightScope,X2,https://flightscope.com
FlightScope,X1,https://flightscope.com

Full Swing,KIT Launch Monitor,https://fullswinggolf.com
Full Swing,KIT Studio,https://fullswinggolf.com

Uneekor,EYE MINI,https://uneekor.com
Uneekor,EYE MINI LITE,https://uneekor.com
Uneekor,EYE XO,https://uneekor.com
Uneekor,EYE XO2,https://uneekor.com
Uneekor,EYE XR,https://uneekor.com
Uneekor,QED,https://uneekor.com

Voice Caddie,SC200,https://voicecaddie.com
Voice Caddie,SC200 Plus,https://voicecaddie.com
Voice Caddie,SC300,https://voicecaddie.com
Voice Caddie,SC300i,https://voicecaddie.com
Voice Caddie,SC4,https://voicecaddie.com
Voice Caddie,SC4 Pro,https://voicecaddie.com

PRGR,HS-120A,https://www.prgr-golf.com
PRGR,HS-130A,https://www.prgr-golf.com

SkyTrak,SkyTrak,https://skytrakgolf.com
SkyTrak,SkyTrak+,https://skytrakgolf.com

Ernest Sports,ES12,https://ernestsports.com
Ernest Sports,ES14,https://ernestsports.com
Ernest Sports,ESB1,https://ernestsports.com
Ernest Sports,ES Tour Plus,https://ernestsports.com

ProTee,VX,https://protee-united.com

Square Golf,Square Launch Monitor,https://squaregolf.co.uk

OptiShot,BallFlight,https://optishotgolf.com
OptiShot,Orbit,https://optishotgolf.com

RSG,RSG One,https://rsgolf.com
RSG,RSG Pro,https://rsgolf.com

Spica,Spica 3,https://spica.golf

TruGolf,Apogee,https://trugolf.com

GolfIn,GolfIn G-Track,https://golfin.com

XiD Technologies,CaddyTalk Cube,https://caddytalkusa.com

Izzo,Launch Mate,https://izzo.com

Swing Caddie,SC200,https://voicecaddie.com
Swing Caddie,SC200 Plus,https://voicecaddie.com
Swing Caddie,SC300i,https://voicecaddie.com
Swing Caddie,SC4,https://voicecaddie.com
